
===== LAUNCHCTL_USER_LIST =====
PID	Status	Label
-	0	com.apple.diagnosticspushd
59903	0	com.apple.replayd
59863	0	com.apple.coreservices.uiagent
60037	0	com.apple.icloud.searchpartyuseragent
59884	0	com.apple.AccessibilityVisualsAgent
-	0	com.apple.installd.user
-	0	com.apple.privatecloudcomputed
-	0	com.apple.textunderstandingd
59927	0	com.apple.liveactivitiesd
59977	0	com.apple.akd
-	0	com.apple.CallHistoryPluginHelper
60050	0	com.apple.jetpackassetd
60665	0	com.apple.homeeventsd
60129	0	com.apple.GamePolicyAgent
-	0	com.apple.mbproximityhelper
60125	0	com.apple.appplaceholdersyncd
-	0	com.apple.storeaccountd
-	0	com.apple.AddressBook.AssistantService
-	0	com.apple.PIPAgent
59868	0	com.apple.cmio.ContinuityCaptureAgent
-	0	com.apple.mbfloagent
-	0	com.sogou.SogouTaskManager
-	0	com.apple.searchtoold
-	0	com.apple.printtool.agent
-	0	com.apple.callintelligenced
60353	0	com.apple.askpermissiond
-	0	com.apple.ssinvitationagent
-	0	com.apple.webinspectord
-	0	com.apple.avatarsd
-	0	com.apple.speech.synthesisserver
59922	0	com.apple.FeatureAccessAgent
-	0	com.apple.storeuid
-	0	com.apple.rcd
-	0	com.apple.printuitool.agent
-	0	com.apple.NVMeAgent
-	0	com.apple.speech.speechdatainstallerd
-	0	com.apple.AOSHeartbeat
60367	0	com.apple.CryptoTokenKit.ahp.agent
-	0	com.apple.SafariNotificationAgent
-	0	com.apple.coredatad
-	0	com.apple.remindd
-	0	com.apple.appsleep
-	0	com.microsoft.SyncReporter
59945	0	com.apple.duetexpertd
60038	0	com.apple.coreservices.useractivityd
-	0	com.apple.screencaptureui.agent
-	0	com.apple.cvmsCompAgent3600_x86_64_1
93278	0	com.apple.mdworker.shared.1A000000-0700-0000-0000-000000000000
93398	0	com.apple.mdworker.shared.0B000000-0200-0000-0000-000000000000
-	0	com.apple.netauth.user.auth
93397	0	com.apple.mdworker.shared.01000000-0200-0000-0000-000000000000
93294	0	com.apple.mdworker.shared.16000000-0100-0000-0000-000000000000
59933	2	com.apple.ViewBridgeAuxiliary
-	0	com.apple.mbbackgrounduseragent
93676	0	com.apple.mdworker.shared.11000000-0100-0000-0000-000000000000
93681	0	com.apple.mdworker.shared.03000000-0400-0000-0000-000000000000
93668	0	com.apple.mdworker.shared.1F000000-0000-0000-0000-000000000000
93289	0	com.apple.mdworker.shared.12000000-0300-0000-0000-000000000000
-	0	com.apple.cvmsCompAgent_x86_64
976	0	com.apple.lsd
83508	-9	com.apple.siri.context.service
90447	0	com.apple.fskit.fskit_agent
39192	-9	com.apple.pluginkit.pkd
93680	0	com.apple.mdworker.shared.17000000-0200-0000-0000-000000000000
-	0	com.apple.CharacterPicker.RemoteGenerationViewService
-	0	com.apple.security.XPCTimeStampingService
-	0	com.apple.Virtualization.EventTap
-	0	com.apple.webkit.webpushd
59970	0	com.apple.weatherd
60331	0	com.svc-workflow
59924	0	com.apple.cache_delete
-	0	com.apple.symptomsd-diag.agent
60007	0	com.apple.AMPDeviceDiscoveryAgent
-	0	com.apple.accessibility.dfrhud
-	0	com.apple.CallHistorySyncHelper
-	0	com.mayf3.sixpack-watchdog
-	0	com.apple.colorsync.useragent
59978	0	com.apple.analyticsagent
60337	0	com.xiaomusic
60042	0	com.apple.appleaccountd
60048	0	com.apple.parsecd
70723	0	com.apple.mlruntimed
59991	0	com.apple.Dock.agent
-	0	com.apple.parsec-fbf
60000	0	com.apple.dmd
62801	0	application.com.docker.docker.6227133.6227189
60341	0	dev.omdsh.dsh-lark
59929	0	com.apple.transparencyd
-	0	com.apple.usbnotificationagent
61709	0	com.apple.AppSSOAgent
-	0	com.apple.mbuseragent
-	0	com.apple.security.cloudkeychainproxy3
59858	0	com.apple.UserEventAgent-Aqua
59955	0	com.apple.followupd
59913	0	com.apple.identityservicesd
59892	0	com.apple.telephonyutilities.callservicesd
-	0	com.apple.DwellControl
60252	0	com.apple.generativeexperiencesd
-	0	com.apple.ScreenTimeSettingsAgent
-	0	com.apple.XProtect.agent.scan
60059	0	com.apple.storekitagent
73102	0	com.apple.security.DiskUnmountWatcher
59886	0	com.apple.CoreLocationAgent
-	0	com.apple.StorageManagement.Service
-	0	com.apple.securemessagingagent
59864	0	com.apple.SecureBackupDaemon
93330	0	com.apple.security.agent
59952	0	com.apple.backgroundtaskmanagement.agent
-	0	com.apple.intelligenceflowd
-	0	com.apple.icloudwebd
61196	0	com.apple.businessservicesd
-	0	com.apple.cfnetwork.AuthBrokerAgent
59980	0	com.apple.feedbackd
60358	0	homebrew.mxcl.postgresql@16
-	0	com.apple.storedownloadd
-	0	com.apple.SpacesTouchBarAgent.app
59860	0	com.apple.BTServer.cloudpairing
-	0	com.apple.managedcorespotlightd
59908	0	com.apple.coreservices.sharedfilelistd
59869	0	com.apple.pboard
59968	0	application.org.alacritty.5186772.5186776
59989	0	application.com.apple.TextEdit.1152921500311907962.1152921500311907967
-	0	com.apple.nowplayingtouchui
61251	0	com.apple.MobileAccessoryUpdater.fudHelperAgent
-	0	com.apple.reversetemplated
-	0	com.apple.BTServer.le.agent
-	0	com.apple.AskPermissionUI
-	0	com.apple.thermaltrap
59879	0	com.apple.rapportd
60370	0	com.apple.SoftwareUpdateNotificationManager
-	0	com.apple.DistributionKit.DistributionHelper
-	0	com.apple.accounts.dom
60060	0	com.apple.TextInputUI.xpc.CursorUIViewService
93399	0	com.apple.mdworker.shared.05000000-0300-0000-0000-000000000000
-	0	com.apple.metadata.mdflagwriter
93673	0	com.apple.mdworker.shared.18000000-0600-0000-0000-000000000000
-	-9	com.apple.DictionaryServiceHelper
-	0	com.apple.mdworker.shared
93679	0	com.apple.mdworker.shared.1E000000-0100-0000-0000-000000000000
-	0	com.apple.mdworker.single.x86_64
-	0	com.apple.usermanagerhelper
1003	0	com.apple.installandsetup.migrationhelper.user
93672	0	com.apple.mdworker.shared.0C000000-0000-0000-0000-000000000000
975	0	com.apple.containermanagerd
36879	-9	com.apple.imdpersistence.IMDPersistenceAgent
-	0	com.apple.TrustEvaluationAgent
-	0	com.apple.Notes.datastore
63387	0	com.apple.mlhostd
-	0	com.apple.preference.displays.MirrorDisplays
-	0	com.apple.IOUIAgent
59983	0	application.com.electron.lark.53632351.53639220
59943	0	com.apple.neagent.878568F8-CCE5-4157-8315-22F20DC8FB0A
-	0	com.apple.previewshellapp
-	0	com.apple.managedappdistributionagent
59909	0	com.apple.accountsd
60142	0	com.apple.cdpd
59882	0	com.apple.routined
59885	0	com.apple.siriactionsd
-	0	com.apple.KeyboardAccessAgent
-	0	com.apple.ecosystemagent
59871	0	com.apple.BiomeAgent
-	0	com.apple.storelegacy
-	0	com.apple.OSDUIHelper
59904	0	com.apple.audio.AudioComponentRegistrar
59961	0	application.dev.omdsh.dsh.59448456.60688467
60149	0	com.apple.AssetCacheLocatorService
-	0	com.apple.DiagnosticsReporter
-	0	com.apple.lockoutagent
60339	0	ai.agent-core.scheduler-v2
-	0	com.apple.videosubscriptionsd
60012	0	com.apple.pbs
-	0	com.apple.calendar.CalendarAgentBookmarkMigrationService
60026	0	com.apple.notificationcenterui.agent
60912	0	com.apple.protectedcloudstorage.protectedcloudkeysyncing
59872	0	com.apple.imklaunchagent
59895	0	com.apple.FileProvider
60495	0	com.apple.imcore.imtransferagent
59901	0	com.apple.mobiletimerd
-	0	com.apple.btsa
60344	0	com.apple.icdd
-	0	com.apple.ckdiscretionaryd
-	1	homebrew.mxcl.tailscale
-	0	com.apple.EscrowSecurityAlert
60349	0	homebrew.mxcl.ollama
60523	0	com.apple.MTLAssetUpgraderD
-	0	com.apple.ptpcamerad
-	0	com.apple.metadata.mdwrite
-	0	com.apple.loginwindow.LWWeeklyMessageTracer
-	0	com.apple.dt.previewsviewservice
-	0	com.apple.spotlightknowledged
-	0	com.apple.securityuploadd
59975	0	com.apple.lockdownmoded
-	0	com.apple.companiond
-	0	com.apple.RapportUIAgent
60245	0	com.apple.siriknowledged
-	0	com.apple.powerchime
59942	0	com.apple.sharingd
-	0	com.apple.seserviced
59878	0	com.apple.mobilerepaird
-	0	com.apple.iCloudUserNotificationsd
70698	0	com.apple.metrickitd
-	0	com.apple.storeassetd
60041	0	com.apple.familycircled
61195	0	com.apple.filevaultd
-	0	com.apple.FontRegistryUIAgent
-	0	com.apple.RemoteManagementAgent
-	0	com.apple.sportsd
60373	0	com.apple.TextInputSwitcher
59896	0	com.apple.intelligentroutingd
-	0	com.apple.AMPArtworkAgent
59915	0	com.apple.imagent
-	0	com.apple.sidecar-relay
-	0	com.apple.cloudsettingssyncagent
59974	0	com.apple.assistant_cdmd
60147	0	com.apple.photoanalysisd
-	0	com.apple.syncservices.SyncServer
-	0	com.apple.imautomatichistorydeletionagent
59993	0	com.apple.SystemUIServer.agent
-	0	com.apple.PackageUIKit.InstallStatus
59899	0	com.apple.talagent
59888	0	com.apple.suggestd
-	0	com.apple.navd
72920	0	com.tencent.xinWeChat-sparkle-updater
-	0	com.dsh.web
-	0	com.apple.appleidsetupd
-	0	com.apple.RemoteDesktop.agent
60029	0	com.apple.iCloudNotificationAgent
60113	0	com.apple.amsaccountsd
-	0	com.apple.VoiceOver
-	0	com.apple.Maps.mapssyncd
60004	0	com.apple.swtransparencyd
-	0	com.apple.gputoolsserviced
59897	0	com.apple.usernotificationsd
-	0	com.apple.FamilyControlsAgent
61249	0	com.apple.spotlightknowledged.importer
-	0	com.apple.AssistiveControl
93677	0	com.apple.mdworker.shared.0F000000-0600-0000-0000-000000000000
93678	0	com.apple.mdworker.shared.0A000000-0000-0000-0000-000000000000
-	0	com.apple.mdworker.single.arm64
-	0	com.apple.ContainerMigrationService
961	0	com.apple.secd
39990	-9	com.apple.hiservices-xpcservice
66910	-9	com.apple.BKAgentService
-	0	com.apple.cvmsCompAgent_x86_64_1
93674	0	com.apple.mdworker.shared.1D000000-0300-0000-0000-000000000000
60198	0	com.apple.assistantd
59972	0	com.apple.siriinferenced
59926	0	com.apple.studentd
-	0	com.apple.FollowUpUI
60095	0	com.apple.videoconference.camera
-	0	com.apple.corespotlightservice
59939	0	com.apple.uikitsystemapp
59981	0	application.com.apple.systempreferences.1152921500311903577.1152921500311903582
-	0	com.apple.controlstrip
60509	0	com.apple.financed
59923	0	com.apple.findmy.findmylocateagent
60057	0	com.apple.mediaanalysisd
-	0	com.apple.DiskArbitrationAgent
59917	0	com.apple.assessmentagent
59881	0	application.com.tencent.inputmethod.wetype.5582625.5582920
-	0	com.apple.exchange.exchangesyncd
-	0	com.apple.testmanagerd
-	0	com.apple.dt.AutomationModeUI
60130	0	com.apple.scopedbookmarksagent.xpc
-	0	com.apple.ensemble
60248	0	com.apple.ReportCrash
80577	0	com.apple.biomesyncd
-	1	com.auth-service
70668	0	com.apple.ciphermld
59976	0	com.apple.UsageTrackingAgent
60100	0	com.apple.email.maild
59910	0	com.apple.donotdisturbd
-	0	com.apple.accessorysensormgrd
-	0	com.apple.locationaccessstored
-	0	com.apple.menuextra.battery.helper
-	0	com.apple.appleseed.seedusaged.postinstall
-	0	com.apple.Maps.mapspushd
-	0	com.apple.coreidvd
-	0	com.apple.voicememod
-	0	com.apple.gamed
-	0	com.apple.STMUIHelper
60433	0	com.apple.intelligencecontextd
60359	0	com.irbridge
59867	0	com.apple.knowledge-agent
-	0	com.apple.midiserver
-	0	com.apple.mobiledeviceupdater
59916	0	com.apple.AccessibilityUIServer
59911	0	com.apple.communicationtrustd
-	0	com.apple.helpd
-	0	com.apple.icloudmailagent
-	0	com.apple.quicklook.ui.helper
-	0	com.apple.GameOverlayUI
59920	0	com.apple.wifi.WiFiAgent
-	0	com.apple.screensharing.MessagesAgent
-	0	com.apple.toolkitd
-	0	com.apple.diskspaced
-	0	com.google.GoogleUpdater.wake
-	0	com.apple.passd
-	0	com.apple.DictationIM
59889	0	com.apple.sociallayerd
-	0	com.apple.mdmclient.agent
93675	0	com.apple.mdworker.shared.10000000-0200-0000-0000-000000000000
-	0	com.apple.iCloudHelper
93670	0	com.apple.mdworker.shared.20000000-0100-0000-0000-000000000000
-	0	com.apple.CharacterPicker.FileService
-	0	com.apple.keychainsharingmessagingd
93669	0	com.apple.mdworker.shared.0D000000-0000-0000-0000-000000000000
93321	0	com.apple.mdworker.shared.04000000-0700-0000-0000-000000000000
-	0	com.apple.MessageUIMacHelperService
-	0	com.apple.cvmsCompAgent3425AMD_x86_64
-	0	com.apple.gamecontroller.ConfigService
-	0	com.apple.security.XPCKeychainSandboxCheck
66909	-9	com.apple.podcasts.PodcastContentService
93666	0	com.apple.mdworker.shared.08000000-0600-0000-0000-000000000000
1059	0	com.apple.CoreAuthentication.agent
59914	0	com.apple.syncdefaultsd
-	0	com.apple.sidecar-display-agent
59907	0	com.apple.chronod
60329	0	com.apple.accessibility.heard
60330	0	com.apple.corespeechd
-	0	com.apple.geoanalyticsd
