# name | realpath | file-arch
bt-run.py | /usr/local/bin/bt-run.py | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text, 
btoa | /usr/local/Cellar/nss/3.123.1/bin/btoa | Mach-O 64-bit executable x86_64
btrun | /usr/local/bin/btrun | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
bubblewrap | /usr/local/lib/node_modules/@bubblewrap/cli/bin/bubblewrap.js | a /usr/bin/env node script text executable, ASCII text
bw | /usr/local/Cellar/bitwarden-cli/2026.1.0/libexec/lib/node_modules/@bitwarden/cli/build/bw.js | a /usr/local/opt/node/bin/node script text executable, ASCII text, with very lon
c++-15 | /usr/local/Cellar/gcc/15.2.0_1/bin/c++-15 | Mach-O 64-bit executable x86_64
c_rehash | /usr/local/Cellar/openssl@3/3.6.2/bin/c_rehash | Perl script text executable
cairo-trace | /usr/local/Cellar/cairo/1.18.4/bin/cairo-trace | POSIX shell script text executable, ASCII text
cairosvg | /usr/local/bin/cairosvg | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
cbc | /usr/local/lib/node_modules/@tencent-ai/codebuddy-code/bin/codebuddy | a /usr/bin/env node script text executable, Unicode text, UTF-8 text
cbc-prewarm | /usr/local/lib/node_modules/@tencent-ai/codebuddy-code/bin/cbc-prewarm | a /usr/bin/env node script text executable, Unicode text, UTF-8 text
cbor2 | /usr/local/bin/cbor2 | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
ccmake | /usr/local/Cellar/cmake/4.3.1/bin/ccmake | Mach-O 64-bit executable x86_64
certutil | /usr/local/Cellar/nss/3.123.1/bin/certutil | Mach-O 64-bit executable x86_64
chardetect | /usr/local/bin/chardetect | a /usr/local/opt/python@3.14/bin/python3.14 script text executable, ASCII text
check_arm_indent.sh | /usr/local/Cellar/ffmpeg/8.1.1/bin/check_arm_indent.sh | POSIX shell script text executable, ASCII text
chktest | /usr/local/Cellar/nss/3.123.1/bin/chktest | Mach-O 64-bit executable x86_64
chrome-devtools-mcp | /usr/local/lib/node_modules/chrome-devtools-mcp/build/src/index.js | a /usr/bin/env node script text executable, ASCII text
cjpeg | /usr/local/Cellar/jpeg-turbo/3.1.4.1/bin/cjpeg | Mach-O 64-bit executable x86_64
classifier_tester | /usr/local/Cellar/tesseract/5.5.2/bin/classifier_tester | Mach-O 64-bit executable x86_64
claude | /usr/local/Caskroom/claude-code/2.1.17/claude | Mach-O 64-bit executable x86_64
claude_bak | /usr/local/lib/node_modules/@anthropic-ai/claude-code/cli.js | a /usr/bin/env node script text executable, Unicode text, UTF-8 text, with very 
clawdbot | /usr/local/lib/node_modules/clawdbot/dist/entry.js | a /usr/bin/env node script text executable, ASCII text
clawdhub | /usr/local/lib/node_modules/clawhub/bin/clawdhub.js | a /usr/bin/env node script text executable, ASCII text
clawhub | /usr/local/lib/node_modules/clawhub/bin/clawdhub.js | a /usr/bin/env node script text executable, ASCII text
clean-diff | /usr/local/Cellar/ffmpeg/8.1.1/bin/clean-diff | POSIX shell script text executable, ISO-8859 text
cloudflared | /usr/local/Cellar/cloudflared/2025.11.1/bin/cloudflared | Mach-O 64-bit executable x86_64
clusterdb | /usr/local/Cellar/postgresql@16/16.14/bin/clusterdb | Mach-O 64-bit executable x86_64
cmake | /usr/local/Cellar/cmake/4.3.1/bin/cmake | Mach-O 64-bit executable x86_64
cmsutil | /usr/local/Cellar/nss/3.123.1/bin/cmsutil | Mach-O 64-bit executable x86_64
cntraining | /usr/local/Cellar/tesseract/5.5.2/bin/cntraining | Mach-O 64-bit executable x86_64
codebuddy | /usr/local/lib/node_modules/@tencent-ai/codebuddy-code/bin/codebuddy | a /usr/bin/env node script text executable, Unicode text, UTF-8 text
codex | /usr/local/Caskroom/codex/0.133.0/codex-x86_64-apple-darwin | Mach-O 64-bit executable x86_64
colab-mcp | /usr/local/bin/colab-mcp | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
colab-mcp-cli | /usr/local/bin/colab-mcp-cli | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
coloredlogs | /usr/local/bin/coloredlogs | a /usr/local/opt/python@3.14/bin/python3.14 script text executable, ASCII text
combine_lang_model | /usr/local/Cellar/tesseract/5.5.2/bin/combine_lang_model | Mach-O 64-bit executable x86_64
combine_tessdata | /usr/local/Cellar/tesseract/5.5.2/bin/combine_tessdata | Mach-O 64-bit executable x86_64
compare-cvelists.sh | /usr/local/Cellar/ffmpeg/8.1.1/bin/compare-cvelists.sh | Bourne-Again shell script text executable, ASCII text
convert-caffe2-to-onnx | /usr/local/bin/convert-caffe2-to-onnx | a /usr/local/opt/python@3.11/bin/python3.11 script text executable, ASCII text
convert-onnx-to-caffe2 | /usr/local/bin/convert-onnx-to-caffe2 | a /usr/local/opt/python@3.11/bin/python3.11 script text executable, ASCII text
convertfilestopdf | /usr/local/Cellar/leptonica/1.87.0/bin/convertfilestopdf | Mach-O 64-bit executable x86_64
convertfilestops | /usr/local/Cellar/leptonica/1.87.0/bin/convertfilestops | Mach-O 64-bit executable x86_64
convertformat | /usr/local/Cellar/leptonica/1.87.0/bin/convertformat | Mach-O 64-bit executable x86_64
convertsegfilestopdf | /usr/local/Cellar/leptonica/1.87.0/bin/convertsegfilestopdf | Mach-O 64-bit executable x86_64
convertsegfilestops | /usr/local/Cellar/leptonica/1.87.0/bin/convertsegfilestops | Mach-O 64-bit executable x86_64
converttopdf | /usr/local/Cellar/leptonica/1.87.0/bin/converttopdf | Mach-O 64-bit executable x86_64
converttops | /usr/local/Cellar/leptonica/1.87.0/bin/converttops | Mach-O 64-bit executable x86_64
corepack | /usr/local/lib/node_modules/corepack/dist/corepack.js | a /usr/bin/env node script text executable, ASCII text
cpack | /usr/local/Cellar/cmake/4.3.1/bin/cpack | Mach-O 64-bit executable x86_64
cpp-15 | /usr/local/Cellar/gcc/15.2.0_1/bin/cpp-15 | Mach-O 64-bit executable x86_64
createdb | /usr/local/Cellar/postgresql@16/16.14/bin/createdb | Mach-O 64-bit executable x86_64
createuser | /usr/local/Cellar/postgresql@16/16.14/bin/createuser | Mach-O 64-bit executable x86_64
cred | /usr/local/bin/cred | Bourne-Again shell script text executable, ASCII text
crlutil | /usr/local/Cellar/nss/3.123.1/bin/crlutil | Mach-O 64-bit executable x86_64
crmftest | /usr/local/Cellar/nss/3.123.1/bin/crmftest | Mach-O 64-bit executable x86_64
crypto_bench | /usr/local/Cellar/ffmpeg/8.1.1/bin/crypto_bench | Mach-O 64-bit executable x86_64
csv2rdf | /usr/local/bin/csv2rdf | a /usr/local/opt/python@3.14/bin/python3.14 script text executable, ASCII text
csvw2datasette | /usr/local/bin/csvw2datasette | a /usr/local/opt/python@3.14/bin/python3.14 script text executable, ASCII text
csvw2json | /usr/local/bin/csvw2json | a /usr/local/opt/python@3.14/bin/python3.14 script text executable, ASCII text
csvw2markdown | /usr/local/bin/csvw2markdown | a /usr/local/opt/python@3.14/bin/python3.14 script text executable, ASCII text
csvw2sqlite | /usr/local/bin/csvw2sqlite | a /usr/local/opt/python@3.14/bin/python3.14 script text executable, ASCII text
csvwdescribe | /usr/local/bin/csvwdescribe | a /usr/local/opt/python@3.14/bin/python3.14 script text executable, ASCII text
csvwvalidate | /usr/local/bin/csvwvalidate | a /usr/local/opt/python@3.14/bin/python3.14 script text executable, ASCII text
ct2-fairseq-converter | /usr/local/bin/ct2-fairseq-converter | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
ct2-marian-converter | /usr/local/bin/ct2-marian-converter | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
ct2-openai-gpt2-converter | /usr/local/bin/ct2-openai-gpt2-converter | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
ct2-opennmt-py-converter | /usr/local/bin/ct2-opennmt-py-converter | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
ct2-opennmt-tf-converter | /usr/local/bin/ct2-opennmt-tf-converter | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
ct2-opus-mt-converter | /usr/local/bin/ct2-opus-mt-converter | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
ct2-transformers-converter | /usr/local/bin/ct2-transformers-converter | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
ctest | /usr/local/Cellar/cmake/4.3.1/bin/ctest | Mach-O 64-bit executable x86_64
curl-cffi | /usr/local/bin/curl-cffi | a /usr/local/opt/python@3.14/bin/python3.14 script text executable, ASCII text
cwebp | /usr/local/Cellar/webp/1.6.0/bin/cwebp | Mach-O 64-bit executable x86_64
cws2fws | /usr/local/Cellar/ffmpeg/8.1.1/bin/cws2fws | Mach-O 64-bit executable x86_64
cygdb | /usr/local/bin/cygdb | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
cython | /usr/local/bin/cython | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
cythonize | /usr/local/bin/cythonize | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
danetool | /usr/local/Cellar/gnutls/3.8.13/bin/danetool | Mach-O 64-bit executable x86_64
dart | /usr/local/share/flutter/bin/dart | Bourne-Again shell script text executable, ASCII text
dashscope | /usr/local/bin/dashscope | a /usr/local/opt/python@3.14/bin/python3.14 script text executable, ASCII text
datasets-cli | /usr/local/bin/datasets-cli | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
dav1d | /usr/local/Cellar/dav1d/1.5.3/bin/dav1d | Mach-O 64-bit executable x86_64
dawg2wordlist | /usr/local/Cellar/tesseract/5.5.2/bin/dawg2wordlist | Mach-O 64-bit executable x86_64
dbtest | /usr/local/Cellar/nss/3.123.1/bin/dbtest | Mach-O 64-bit executable x86_64
dbtool | /usr/local/Cellar/nss/3.123.1/bin/dbtool | Mach-O 64-bit executable x86_64
ddgs | /usr/local/bin/ddgs | a /usr/local/opt/python@3.14/bin/python3.14 script text executable, ASCII text
debugpy | /usr/local/bin/debugpy | a /usr/local/opt/python@3.13/bin/python3.13 script text executable, ASCII text
deep-filter-py | /usr/local/bin/deep-filter-py | a /usr/local/opt/python@3.14/bin/python3.14 script text executable, ASCII text
deepFilter | /usr/local/bin/deepFilter | a /usr/local/opt/python@3.14/bin/python3.14 script text executable, ASCII text
deno | /usr/local/Cellar/deno/2.8.0/bin/deno | Mach-O 64-bit executable x86_64
derdump | /usr/local/Cellar/nss/3.123.1/bin/derdump | Mach-O 64-bit executable x86_64
dertimetest | /usr/local/Cellar/nss/3.123.1/bin/dertimetest | Mach-O 64-bit executable x86_64
diffusers-cli | /usr/local/bin/diffusers-cli | a /usr/local/opt/python@3.11/bin/python3.11 script text executable, ASCII text
digest | /usr/local/Cellar/nss/3.123.1/bin/digest | Mach-O 64-bit executable x86_64
dirmngr | /usr/local/Cellar/gnupg/2.5.19/bin/dirmngr | Mach-O 64-bit executable x86_64
dirmngr-client | /usr/local/Cellar/gnupg/2.5.19/bin/dirmngr-client | Mach-O 64-bit executable x86_64
distro | /usr/local/bin/distro | a /usr/local/opt/python@3.14/bin/python3.14 script text executable, ASCII text
djpeg | /usr/local/Cellar/jpeg-turbo/3.1.4.1/bin/djpeg | Mach-O 64-bit executable x86_64
docker | /Applications/Docker.app/Contents/Resources/bin/docker | Mach-O 64-bit executable arm64
docker-compose | /Applications/Docker.app/Contents/Resources/cli-plugins/docker-compose | Mach-O 64-bit executable arm64
docker-credential-desktop | /Applications/Docker.app/Contents/Resources/bin/docker-credential-desktop | Mach-O 64-bit executable arm64
docker-credential-gcloud | /usr/local/share/google-cloud-sdk/bin/docker-credential-gcloud | POSIX shell script text executable, ASCII text
docker-credential-osxkeychain | /Applications/Docker.app/Contents/Resources/bin/docker-credential-osxkeychain | Mach-O 64-bit executable arm64
docker.lima | /usr/local/Cellar/lima/2.1.4/bin/docker.lima | POSIX shell script text executable, ASCII text
dotenv | /usr/local/bin/dotenv | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
dropdb | /usr/local/Cellar/postgresql@16/16.14/bin/dropdb | Mach-O 64-bit executable x86_64
dropuser | /usr/local/Cellar/postgresql@16/16.14/bin/dropuser | Mach-O 64-bit executable x86_64
dsh | /usr/local/lib/node_modules/@deepseek-ai/dsh/lib/bin.js | a /usr/bin/env node script text executable, Unicode text, UTF-8 text, with very 
dukpy | /usr/local/bin/dukpy | a /usr/local/opt/python@3.14/bin/python3.14 script text executable, ASCII text
dukpy-install | /usr/local/bin/dukpy-install | a /usr/local/opt/python@3.14/bin/python3.14 script text executable, ASCII text
dumppdf.py | /usr/local/bin/dumppdf.py | a /usr/local/opt/python@3.14/bin/python3.14 script text executable, ASCII text
dumpsexp | /usr/local/Cellar/libgcrypt/1.12.2/bin/dumpsexp | Mach-O 64-bit executable x86_64
dvd2concat | /usr/local/Cellar/ffmpeg/8.1.1/bin/dvd2concat | Perl script text executable
dwebp | /usr/local/Cellar/webp/1.6.0/bin/dwebp | Mach-O 64-bit executable x86_64
dx | /usr/local/Cellar/deno/2.8.0/bin/deno | Mach-O 64-bit executable x86_64
eas | /usr/local/lib/node_modules/eas-cli/bin/run | a /usr/bin/env node script text executable, ASCII text
ecperf | /usr/local/Cellar/nss/3.123.1/bin/ecperf | Mach-O 64-bit executable x86_64
ecpg | /usr/local/Cellar/postgresql@16/16.14/bin/ecpg | Mach-O 64-bit executable x86_64
edge-playback | /usr/local/bin/edge-playback | a /usr/local/opt/python@3.11/bin/python3.11 script text executable, ASCII text
edge-tts | /usr/local/bin/edge-tts | a /usr/local/opt/python@3.11/bin/python3.11 script text executable, ASCII text
enc_recon_frame_test | /usr/local/Cellar/ffmpeg/8.1.1/bin/enc_recon_frame_test | Mach-O 64-bit executable x86_64
encodec | /usr/local/bin/encodec | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
encodeinttest | /usr/local/Cellar/nss/3.123.1/bin/encodeinttest | Mach-O 64-bit executable x86_64
enum_options | /usr/local/Cellar/ffmpeg/8.1.1/bin/enum_options | Mach-O 64-bit executable x86_64
envsubst | /usr/local/Cellar/gettext/1.0/bin/envsubst | Mach-O 64-bit executable x86_64
etc1tool | /usr/local/Caskroom/android-platform-tools/36.0.2/platform-tools/etc1tool | Mach-O universal binary with 2 architectures: [x86_64:Mach-O 64-bit executable x
/usr/local/Caskroom/android-platform-tools/36.0.2/platform-tools/etc1tool (for a
/usr/local/Caskroom/android-platform-tools/36.0.2/platform-tools/etc1tool (for a
event_rpcgen.py | /usr/local/Cellar/libevent/2.1.12_1/bin/event_rpcgen.py | Python script text executable, ASCII text
exa-mcp-server | /usr/local/lib/node_modules/exa-mcp-server/.smithery/stdio/index.cjs | a /usr/bin/env node script text executable, ASCII text, with very long lines (65
f2py | /usr/local/bin/f2py | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
fabric | /usr/local/bin/fabric | a /usr/local/opt/python@3.12/bin/python3.12 script text executable, ASCII text
factor | /usr/local/Cellar/coreutils/9.10/bin/gfactor | Mach-O 64-bit executable x86_64
fairseq-eval-lm | /usr/local/bin/fairseq-eval-lm | a /usr/local/opt/python@3.11/bin/python3.11 script text executable, ASCII text
fairseq-generate | /usr/local/bin/fairseq-generate | a /usr/local/opt/python@3.11/bin/python3.11 script text executable, ASCII text
fairseq-hydra-train | /usr/local/bin/fairseq-hydra-train | a /usr/local/opt/python@3.11/bin/python3.11 script text executable, ASCII text
fairseq-interactive | /usr/local/bin/fairseq-interactive | a /usr/local/opt/python@3.11/bin/python3.11 script text executable, ASCII text
fairseq-preprocess | /usr/local/bin/fairseq-preprocess | a /usr/local/opt/python@3.11/bin/python3.11 script text executable, ASCII text
fairseq-score | /usr/local/bin/fairseq-score | a /usr/local/opt/python@3.11/bin/python3.11 script text executable, ASCII text
