domain	definition_id	definition_key	class	live_instances	published_stale_cfg	total_stale_cfg	note
build-in-public-dogfood	a59e4b96-0bd7-45e2-9b58-d077acf5693c	podcast_platform_dist_v1	BUSINESS_CLEAN	0	0	0	
build-in-public-dogfood	f1a3fd57-6eb0-4757-8674-733841d96da4	podcast_script_v1	BUSINESS_STALE_FIXED_CONFIG	2	1	1	
build-in-public-dogfood	d1c6a8c2-52cb-4b1c-8dd8-311f453fa91a	single_platform_dist_v1	BUSINESS_CLEAN	25	0	0	
canary-e2e-1784457448	ab10824e-9950-43a9-8069-949e1ac5f40a	auth_v1_feishu_e2e_v1_1784457448	TEST_DEFINITION	2	1	1	
canary-wda-prod-v1-1788666602	255862f9-0695-45d1-bb43-541e20fb4760	canary_wda_prod_v1_1788666602	TEST_DEFINITION	0	0	0	
canary-wda-prod-v1-1788666888	79a19d94-743a-4306-bfe9-52175b80e1df	canary_wda_prod_v1_1788666888	TEST_DEFINITION	0	0	0	
canary-wda-prod-v1-1788668907	c6552b9d-0437-43d2-b056-d40329b213ab	canary_wda_prod_v1_1788668907	TEST_DEFINITION	2	0	0	
canary-wda-prod-v1-1788668907	fa6a22c8-0276-42a0-a6bb-df1d5bc32926	negfix_ctrl_1788679612615	TEST_DEFINITION	0	0	0	
canary-wda-prod-v1-1788668907	fbca5174-c89c-4c4b-a56d-7098862759d7	negfix_ctrl_1788680751242	TEST_DEFINITION	0	0	0	
canary-wda-v1-1788578473	d3159a3b-af61-4990-b0a9-850266e3616c	canary_dbg_full_1788582382	TEST_DEFINITION	0	0	0	
canary-wda-v1-1788578473	cad31606-b6d4-42fc-a8f5-c574cd27c2ed	canary_dbg_min_1788582382	TEST_DEFINITION	0	0	0	
canary-wda-v1-1788578473	c08bd3a5-e610-4344-9a16-c73f4ec1533b	canary_dbg_nodesc_1788582382	TEST_DEFINITION	0	0	0	
canary-wda-v1-1788578473	151af1fc-bd46-4c52-84f3-616f7ffe4edb	canary_dbg_nometa_1788582382	TEST_DEFINITION	0	0	0	
canary-wda-v1-1788582639	f580098d-2a74-4b67-9120-c960384676c5	hr-e2e-loop-v1-1788653637	TEST_DEFINITION	3	0	0	
canary-wda-v1-1788582639	82e60a1c-a43a-40d5-9639-e5429535eeab	hr-e2e-loop-v1-1788653713	TEST_DEFINITION	0	0	0	
canary-wda-v1-1788583685	a7ca0bef-a7e3-4c28-a69c-fe0e8b8ee8a3	canary_wda_canary-wda-v1-1788583685	TEST_DEFINITION	0	0	0	
canary-wda-v1-1788583811	913ba47f-200b-4aa0-a066-5b36d12766c9	canary_wda_canary-wda-v1-1788583811	TEST_DEFINITION	1	0	0	
canary-wda-v1-1788583998	0a05ee9b-a132-4984-8aa3-e18f26b8bf4e	canary_wda_canary-wda-v1-1788583998	TEST_DEFINITION	1	0	0	
canary-wda-v1-1788584903	775d3866-4faf-4216-ae60-787f51e86ee2	canary_wda_canary-wda-v1-1788584903	TEST_DEFINITION	1	0	0	
commercial-exploration-dogfood	86570504-1ab9-4ad2-8d83-7f526900c920	biz-explore-v1	BUSINESS_STALE_FIXED_CONFIG	2	6	6	
commercial-exploration-dogfood	8a9e7c74-53e4-4d89-b0c2-69b520106969	biz-publish-v1	BUSINESS_STALE_FIXED_CONFIG	0	4	4	
commercial-exploration-dogfood	e08370a0-99ff-468d-b54f-65db58ea9e7c	content_idea_validation_v1	BUSINESS_CLEAN	2	0	0	
coord-e2e-hr-001	a4bdc370-c8fd-4850-8143-7537eb06fa3c	coord-e2e-def-001	TEST_DEFINITION	0	0	0	
game-dev	6acebe99-cc3b-4cb1-b6b3-befdba6f371c	game_dev_flow_v1	BUSINESS_STALE_FIXED_CONFIG	0	27	27	DUPLICATE_OF_adc-game-dev-v1
hr-onboarding	2df082da-5136-4993-9e1c-9ac93357dda5	agent-content-to-actions-v1-0906	BUSINESS_CLEAN	1	0	0	
hr-onboarding	f873d899-7106-4970-96a7-4ad51cfbd232	agent-onboarding-v1	BUSINESS_STALE_FIXED_CONFIG	0	6	6	
hr-onboarding	25ac212c-09bc-4d03-ba71-145147e5b058	agent-role-upgrade-v1	BUSINESS_STALE_FIXED_CONFIG	1	8	8	
hr-onboarding	e81c3787-dec2-4349-be89-e4f76714ab18	dual-agent-content-prep-v1-0906	BUSINESS_CLEAN	1	0	0	
hr-onboarding	ae479397-dd60-44a1-b326-c2b96416f6db	retrospective-action	BUSINESS_CLEAN	9	0	0	
hr-onboarding	de53678d-98cb-4bac-a2f1-3d49f48b8b96	user-verification-independent-work-v1	BUSINESS_CLEAN	0	0	0	
hr-onboarding	34710e50-7164-4c17-b50a-6096862cfedc	visit_canary_648a6b90-ff57-4945-8c2d-12a1bcbd6ed4	TEST_DEFINITION_IN_BUSINESS_DOMAIN	1	0	0	
hr-onboarding	788a0725-1f0f-4e21-aa09-2c5aa1ebd274	wda_regression_fix_v1_0906	BUSINESS_CLEAN	1	0	0	
journal-submission	cba25a64-6fc3-415a-8111-c286736ae711	journal_final_delivery	BUSINESS_STALE_FIXED_CONFIG	1	6	6	
journal-submission	79bf7fd0-8676-4d2a-b1a1-c54ec69c5e18	journal_section_production	BUSINESS_STALE_FIXED_CONFIG	28	7	7	
journal-submission	53f2fbaf-ac48-433e-b297-97abcaa96421	journal-submission	BUSINESS_STALE_FIXED_CONFIG	0	5	5	
journal-submission	e7d081f8-f576-4685-bd63-c921a7921bab	research_ideation	BUSINESS_STALE_FIXED_CONFIG	1	1	1	
knowledge-curation	d54a1453-b9a0-4cd4-a6b1-ff9aa4cd1e81	audio-to-knowledge	BUSINESS_STALE_FIXED_CONFIG	0	6	6	
knowledge-curation	ed939b91-e75a-4e1d-a8ae-a3807f65011b	video-to-knowledge	BUSINESS_STALE_FIXED_CONFIG	2	13	13	
knowledge-curation	ffec36b9-ba09-4f81-9926-e9f57233ba3f	wiki-compile-review-publish	BUSINESS_STALE_FIXED_CONFIG	108	4	4	
obo-conformance-domain	d0000000-0000-4000-8000-00000000d100	obo-conformance-def	TEST_DEFINITION	0	0	0	
smoke-test-d76e45e7	a0000000-0000-0000-0000-000000000001	smoke-test-def	TEST_DEFINITION	0	1	1	
workflow-todo-dogfood	50c7fad7-d740-4b8f-8ac1-c7f46f92fe95	agent_self_task_v1	BUSINESS_STALE_FIXED_CONFIG	8	4	8	
workflow-todo-dogfood	86f4346c-31ed-4170-a022-894ad0611327	idea_pool_v1	BUSINESS_CLEAN	3	0	2	
workflow-todo-dogfood	2063afa4-85ae-48db-90d4-47042ba6ab31	personal_quick_item_v1	BUSINESS_CLEAN	86	0	0	
