canary-wda-prod-v1-1788668907	fa6a22c8-0276-42a0-a6bb-df1d5bc32926	negfix_ctrl_1788679612615	WDA regression-fix negative-proof control (disposable)	2026-09-06	2026-09-06	0
canary-wda-prod-v1-1788668907	fbca5174-c89c-4c4b-a56d-7098862759d7	negfix_ctrl_1788680751242	WDA regression-fix negative-proof control (disposable)	2026-09-06	2026-09-06	0
canary-wda-v1-1788578473	d3159a3b-af61-4990-b0a9-850266e3616c	canary_dbg_full_1788582382	WDA v1 canary definition	2026-09-05	2026-09-05	0
canary-wda-v1-1788578473	cad31606-b6d4-42fc-a8f5-c574cd27c2ed	canary_dbg_min_1788582382	WDA v1 canary	2026-09-05	2026-09-05	0
canary-wda-v1-1788578473	c08bd3a5-e610-4344-9a16-c73f4ec1533b	canary_dbg_nodesc_1788582382	WDA v1 canary definition	2026-09-05	2026-09-05	0
canary-wda-v1-1788578473	151af1fc-bd46-4c52-84f3-616f7ffe4edb	canary_dbg_nometa_1788582382	WDA v1 canary definition	2026-09-05	2026-09-05	0
canary-wda-v1-1788582639	f580098d-2a74-4b67-9120-c960384676c5	hr-e2e-loop-v1-1788653637	HR E2E loop canary 1788653637	2026-09-06	2026-09-06	3
canary-wda-v1-1788582639	82e60a1c-a43a-40d5-9639-e5429535eeab	hr-e2e-loop-v1-1788653713	HR E2E loop canary 1788653713	2026-09-06	2026-09-06	0
canary-wda-v1-1788583685	a7ca0bef-a7e3-4c28-a69c-fe0e8b8ee8a3	canary_wda_canary-wda-v1-1788583685	WDA v1 canary definition	2026-09-05	2026-09-05	0
canary-wda-v1-1788583811	913ba47f-200b-4aa0-a066-5b36d12766c9	canary_wda_canary-wda-v1-1788583811	WDA v1 canary definition	2026-09-05	2026-09-05	1
canary-wda-v1-1788583998	0a05ee9b-a132-4984-8aa3-e18f26b8bf4e	canary_wda_canary-wda-v1-1788583998	WDA v1 canary definition	2026-09-05	2026-09-05	1
canary-wda-v1-1788584903	775d3866-4faf-4216-ae60-787f51e86ee2	canary_wda_canary-wda-v1-1788584903	WDA v1 canary definition	2026-09-05	2026-09-05	1
commercial-exploration-dogfood	86570504-1ab9-4ad2-8d83-7f526900c920	biz-explore-v1	商业化探索 v1（只产出商业计划书）	2026-08-08	2026-08-08	2
commercial-exploration-dogfood	8a9e7c74-53e4-4d89-b0c2-69b520106969	biz-publish-v1	发布执行 v1（人工审批门）	2026-08-08	2026-08-08	0
commercial-exploration-dogfood	e08370a0-99ff-468d-b54f-65db58ea9e7c	content_idea_validation_v1	Content Idea Validation	2026-07-23	2026-07-23	2
coord-e2e-hr-001	a4bdc370-c8fd-4850-8143-7537eb06fa3c	coord-e2e-def-001	Coord E2E Definition	2026-08-11	2026-08-11	0
